primary_accession	country	geo_loc	collection_year	host 	comment
U22861	-	-	-	Atilax paludinosus	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
AF325486	-	-	-	Vulpes lagopus	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
OM480562	-	-	-	Equus asinus	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
PX446303	-	-	-	Meles meles	Assumed based on location. Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
KR337508	-	-	-	Meles meles	Assumed based on location. Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
JN596897	-	-	-	Meles meles	Assumed based on location. Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
JF683646	-	-	-	Meles meles	Assumed based on location. Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
JN109230	-	-	-	Meles meles	Assumed based on location. Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
HM852183	-	-	-	Meles meles	Assumed based on location. Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
OQ693962	-	-	-	Meles meles	Assumed based on location. Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
OQ544454	-	-	-	Meles meles	Assumed based on location. Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
PP866426	-	-	-	Meles meles	Assumed based on location. Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
EF377705	-	Cartago, Valle	2002	Eptesicus brasiliensis	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
EF377704	-	Cali, Valle	2000	Eptesicus brasiliensis	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
EF377703	-	Pereira, Risaralda	2004	Insectivorous bat	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
EF377701	-	Cali, Valle	1995	Molossus molossus	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
KU050058	-	-	-	Canis lupus familiaris	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
OP939360	-	-	-	black-backed jackal	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
OP939359	-	-	-	black-backed jackal	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
OP939358	-	-	-	black-backed jackal	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
OP939357	-	-	-	black-backed jackal	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
OP939356	-	-	-	black-backed jackal	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research
