primary_accession	country	geo_loc	collection_year	host 	pubmed	comment
DQ275596	Puerto Rico	-	1997	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
DQ275585	Puerto Rico	-	1997	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
DQ275595	Puerto Rico	-	1997	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
DQ275594	Puerto Rico	-	1997	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
DQ275593	Puerto Rico	-	1997	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
DQ275592	Puerto Rico	-	1997	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
DQ275591	Puerto Rico	-	1997	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
DQ275590	Puerto Rico	-	1997	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
DQ275589	Puerto Rico	-	1997	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
DQ275588	Puerto Rico	-	1997	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
DQ275587	Puerto Rico	-	1997	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
DQ275586	Puerto Rico	-	1997	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
DQ275584	Puerto Rico	-	1997	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
DQ275576	Puerto Rico	-	1997	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
DQ275574	Puerto Rico	-	1997	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
DQ275573	Puerto Rico	-	1997	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
DQ275572	Puerto Rico	-	1997	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
DQ275571	Puerto Rico	-	1997	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
DQ275570	Puerto Rico	-	1997	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
DQ275569	Puerto Rico	-	1997	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
DQ275568	Puerto Rico	-	1996	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
DQ275567	Puerto Rico	-	1996	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
DQ275566	Puerto Rico	-	1996	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
DQ275565	Puerto Rico	-	1996	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
DQ275564	Puerto Rico	-	1996	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
DQ275563	Puerto Rico	-	1996	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KM067274	Grenada	-	-	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KJ957452	Grenada	-	-	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KJ957451	Grenada	-	-	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KJ957450	Grenada	-	-	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KJ957449	Grenada	-	-	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KJ957445	Grenada	-	-	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KJ957444	Grenada	-	-	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KJ957443	Grenada	-	-	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KJ957442	Grenada	-	-	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KJ957441	Grenada	-	-	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KJ957440	Grenada	-	-	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KJ957438	Grenada	-	-	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
KJ957437	Grenada	-	-	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
AY854576	Cuba	-	2000	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
AY854573	Cuba	-	2001	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
AY854567	Cuba	-	2000	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
AY854558	Cuba	-	2002	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
AY854546	Cuba	-	2002	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
AY854544	Cuba	-	2000	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
AY854531	Cuba	-	2002	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
AY854525	Cuba	-	2001	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
AY854505	Cuba	-	2001	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
AY854570	Cuba	-	2002	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
AY854568	Cuba	-	2000	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
AY854555	Cuba	-	2002	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
AY854543	Cuba	-	2000	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
AY854539	Cuba	-	2000	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
AY854538	Cuba	-	2001	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
AY854535	Cuba	-	2000	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
AY854533	Cuba	-	2002	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
AY854518	Cuba	-	2001	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
AY854513	Cuba	-	2001	small Indian mongoose	-	Curation is part of the VGTK project, Curator: VGTK rabies team, SBOHVM and MRC-University of Glasgow Centre for Virus Research 
